,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
75,IBM,202,558,760,202,586554,10000,100,100.0,38351.465108910765,60,61,76400,107636.0,71855.0,68231.0,93292.5
76,IBM,190,580,770,190,642615,10000,100,100.0,42849.61618264509,61,51,75500,127962.5,109844.5,95200.0,118250.0
77,IBM,212,568,780,212,670685,10000,100,100.0,45036.35645786635,67,51,75800,130950.0,115331.5,97075.0,124137.5
78,IBM,207,583,790,207,645196,10000,100,100.0,41996.88976579099,62,55,79200,122915.0,94026.0,78315.5,107840.0
79,IBM,211,589,800,211,597182,10000,100,100.0,36070.1744936173,64,55,80700,122199.5,113819.0,91937.0,118842.5
80,IBM,181,629,810,181,646724,10000,100,100.0,40098.188936658975,47,46,58300,102325.0,75522.0,59312.5,83912.5
81,IBM,188,632,820,188,678427,10000,100,100.0,43140.58048983578,51,44,61200,99050.0,82803.5,74850.0,91800.0
82,IBM,197,633,830,197,649681,10000,100,100.0,39614.51765451651,64,62,82600,135633.5,105054.0,88046.5,124114.5
83,IBM,207,633,840,207,658300,10000,100,100.0,40669.18489470867,62,53,75100,129537.5,100263.0,90862.5,118987.5
84,IBM,213,637,850,213,655796,10000,100,100.0,42360.838188118985,70,64,84700,132702.0,80268.5,57400.0,101675.0
85,IBM,221,639,860,221,758521,10000,100,100.0,44210.1793595095,63,55,80200,154000.0,148625.0,124187.5,150625.0
86,IBM,218,652,870,218,699276,10000,100,100.0,41771.286477675065,65,55,78600,138421.5,87387.5,63512.5,101762.5
87,IBM,210,670,880,210,711596,10000,100,100.0,39296.91863238134,66,63,83700,125362.5,94805.0,77600.0,109487.5
88,IBM,233,657,890,233,735154,10000,100,100.0,45052.85016511164,71,64,94100,154118.0,120791.5,94813.0,137514.5
89,IBM,213,687,900,213,786677,10000,100,100.0,50397.61953703766,65,55,79600,133837.5,76228.0,48275.0,101037.5
90,IBM,237,673,910,237,735360,10000,100,100.0,43133.79324844964,80,72,94100,137465.0,87046.5,61350.0,111200.0
91,IBM,248,672,920,248,849980,10000,100,100.0,51351.731460584655,74,68,90000,151809.0,110787.5,84176.5,126337.5
92,IBM,224,706,930,224,745437,10000,100,100.0,41166.573563997285,71,65,90200,142577.5,110980.0,76075.0,126025.0
93,IBM,255,685,940,255,759181,10000,100,100.0,43598.999724764326,76,66,94800,150624.5,105657.0,78837.5,122137.5
94,IBM,225,725,950,225,751417,10000,100,100.0,44571.89070479286,51,49,64300,91162.5,78162.5,50975.0,82600.0
95,IBM,246,714,960,246,726126,10000,100,100.0,42712.83345787306,67,64,84000,141474.0,106802.5,86832.5,126320.0
96,IBM,225,745,970,225,793658,10000,100,100.0,45161.72877559051,78,66,91500,152831.0,122803.5,97087.5,139312.5
97,IBM,255,725,980,255,909208,10000,100,100.0,54749.9073058576,70,67,85900,134099.5,118062.5,106547.0,123187.5
98,IBM,257,733,990,257,864541,10000,100,100.0,50886.40013795435,71,63,88800,145729.5,140897.5,105013.5,143897.5
