,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
595,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,160294,160294,16029400,4009948574,4002684533,4003229597,4009922514
596,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,169977,169977,16997700,4248347711,4045843793,3860374488,4236086272
597,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,180173,180173,18017300,4505202948,4087269884,3726703295,4458106444
598,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,189983,189983,18998300,4745108774,4388541674,4074901922,4712268766
599,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200060,200060,20006000,5004814541,4815624748,4645977205,4996000301
600,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,10069,10069,1006900,252955067.4,251542453.8,251451039.1,252862284.3
601,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,19870,19870,1987000,496070130,379783110.7,299578108.4,463442835.3
602,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,29886,29886,2988600,746466862.7,633286781.2,547011348.1,725581390.6
603,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,39979,39979,3997900,1001086998,744865301.3,566757788.9,923601758.9
604,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,49987,49987,4998700,1251591146,1025004884,848617859.5,1201673780
605,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,59975,59975,5997500,1499611797,1470610377,1448821422,1498776148
606,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69840,69840,6984000,1740547693,1566876294,1425805931,1719536575
607,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,80287,80287,8028700,2008113466,1480796138,1118742853,1846615828
608,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,89722,89722,8972200,2243592612,2154016880,2072090667,2238851216
609,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,100105,100105,10010500,2502145363,2024849598,1657914021,2392808154
610,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,110014,110014,11001400,2750264724,2627560582,2512370811,2742966081
611,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,119687,119687,11968700,2988000370,2727817290,2503164606,2960130744
612,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,130253,130253,13025300,3257355515,3209233472,3169215589,3256367897
613,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,140140,140140,14014000,3508197610,3331914570,3176211245,3497110707
614,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,150114,150114,15011400,3755327824,3726778544,3705741214,3755003057
615,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,159663,159663,15966300,3989060385,3859035716,3738545171,3983567092
616,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,169938,169938,16993800,4251301444,4088209617,3937076904,4243258364
617,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,179622,179622,17962200,4490069296,4336270291,4195613356,4483302475
618,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,189807,189807,18980700,4743560114,4520192772,4318748329,4730332740
619,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,199533,199533,19953300,4988050715,4828519946,4687824122,4981715956
