,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
83,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,46.0,46.0,460.0,109923.22854728837,91555.03529092816,78382.67592374914,105472.09723253292
84,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,38.0,38.0,380.0,88879.91355965825,69071.449423936,57257.765734798806,80163.15707485136
85,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,41.0,41.0,410.0,87829.19063895158,0.0,0.0,0.0
86,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,42.0,42.0,420.0,102835.56051818671,0.0,0.0,0.0
87,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,44.0,44.0,440.0,109189.2286473547,0.0,0.0,0.0
88,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,36.0,36.0,360.0,93810.62767371429,0.0,0.0,0.0
89,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,91909.36946037094,89445.33851400859,91033.68707576228,91909.36946037087
90,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,35.0,35.0,350.0,91674.83253841994,54313.394139459015,40772.326323151734,71783.76666229418
91,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,37.0,37.0,370.0,98375.889719095,0.0,0.0,0.0
92,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,42.0,42.0,420.0,104756.50047453126,0.0,0.0,0.0
93,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,38.0,38.0,380.0,89052.99759291584,0.0,0.0,0.0
94,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,38.0,38.0,380.0,101637.74734378871,0.0,0.0,0.0
95,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,43.0,43.0,430.0,117318.04263695178,85082.71825572697,71806.01538134726,108744.56757497201
96,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,41.0,41.0,410.0,99468.70018050575,81877.56002347932,76234.31080144818,95283.184808335
97,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,41.0,41.0,410.0,103337.31858076574,0.0,0.0,0.0
98,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,38.0,38.0,380.0,98505.40717944517,0.0,0.0,0.0
99,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,36.0,36.0,360.0,92691.82403073067,0.0,0.0,0.0
100,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,48.0,48.0,480.0,110341.14320461027,0.0,0.0,0.0
101,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,35.0,35.0,350.0,85798.36812773428,55856.005587331325,41346.39074566085,72467.7944265152
102,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,41.0,41.0,410.0,98334.47583815071,57468.04452941578,36601.45478706839,73562.52711210542
103,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,45.0,45.0,450.0,110566.12471879745,0.0,0.0,0.0
104,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,38.0,38.0,380.0,91847.1008221453,0.0,0.0,0.0
105,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,43.0,43.0,430.0,109891.99564341761,0.0,0.0,0.0
106,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,45.0,45.0,450.0,111860.3029197233,0.0,0.0,0.0
