,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
22,800.0,10.0,10.0,150.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,42.0,42.0,420.0,63345.636841876374,56010.774326522405,53090.720689586306,62060.414534766474
23,800.0,10.0,10.0,200.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,73703.84739362335,68768.09400808436,65978.75965563222,73223.36870506994
24,800.0,10.0,10.0,300.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,128905.6570029466,100611.6396999915,84433.10619526371,119884.07670554912
25,800.0,10.0,10.0,350.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,142154.77166094733,141576.0235754128,141703.30332458572,142154.77166094718
26,800.0,10.0,10.0,400.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,36.0,36.0,360.0,129330.07228523066,99057.8809770692,79924.25664409866,117454.96846579252
27,800.0,10.0,10.0,450.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,181639.89202581038,162675.45340065076,161192.32724963705,180520.80017509602
28,800.0,10.0,10.0,500.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,36.0,36.0,360.0,175409.54606584378,167416.24687919434,157912.42682877724,174695.51860489883
29,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,40.0,40.0,400.0,113155.41005216911,79837.063721854,58315.36506098763,103076.20500221167
30,800.0,10.0,10.0,50.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,20477.274308982043,16542.861109778896,14055.016610873505,19578.826436744297
31,800.0,10.0,10.0,100.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,39859.526479321736,34719.928018219834,30706.71756708472,38996.10129342223
32,800.0,10.0,10.0,150.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,36.0,36.0,360.0,56791.10132876504,47474.284896092584,35009.648032418816,52938.55589064582
33,800.0,10.0,10.0,200.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,79428.49359850652,74968.29162749865,73329.90997286313,79102.53375083965
34,800.0,10.0,10.0,300.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,43.0,43.0,430.0,124411.69399610485,88628.33224142564,72005.26639517074,115153.70086316334
35,800.0,10.0,10.0,350.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,117695.28057589725,81067.84596103139,53444.32438988175,99703.30340432182
36,800.0,10.0,10.0,400.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,34.0,34.0,340.0,140487.76436734427,114742.0815422551,93145.29978019293,135640.44296148443
37,800.0,10.0,10.0,450.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,40.0,40.0,400.0,193970.9969751681,140761.86935111252,97105.9472711017,174451.2966277511
38,800.0,10.0,10.0,500.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,44.0,44.0,440.0,204189.13249308435,190951.0060016405,194566.88865674695,203356.44218467566
39,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,42.0,42.0,420.0,101825.80055203827,61937.22224138766,40019.81771189421,80806.13906633476
